,Data Medicao,PRECIPITACAO,TEMPERATURA_MAXIMA_MEDIA,TEMPERATURA_MEDIA,TEMPERATURA_MINIMA_MEDIA,PET,BAL,SPI6,SPEI3,Date,ano,mes,frequencia_incendios,mes_numero
167,2011-12-31,324.5,26.051613,21.032903,17.987097,135.192477903156,189.307522096844,1.44241955670472,1.84828661515065,12/2011,2011,Dezembro,0,12
168,2012-01-31,269.9,25.383333,20.536774,17.319355,132.656795704953,137.243204295047,1.85054258979335,1.7257528672326,01/2012,2012,Janeiro,0,1
169,2012-02-29,114.9,26.934483,21.498621,17.57931,128.375699308665,-13.4756993086647,1.5161766515953,0.72576681796457,02/2012,2012,Fevereiro,0,2
170,2012-03-31,196.9,27.609677,21.928387,17.77,137.700437526306,59.1995624736938,1.5553158829201,0.0005227677113077,03/2012,2012,Março,0,3
171,2012-04-30,121.3,27.833333,22.24,18.233333,116.928754140335,4.37124585966534,0.669398170247671,-0.813767966238262,04/2012,2012,Abril,4,4
172,2012-05-31,44.4,24.977419,19.516129,15.548387,97.1271704046804,-52.7271704046804,0.389644307422681,-0.226274215696938,05/2012,2012,Maio,0,5
173,2012-06-30,2.4,26.166667,20.269333,15.6,92.9609449981159,-90.5609449981159,-0.0629490974022971,0.15041845780951,06/2012,2012,Junho,4,6
174,2012-07-31,0.2,26.06129,19.769032,14.141935,103.115723994369,-102.915723994369,-0.559907510850438,0.788219636362219,07/2012,2012,Julho,27,7
175,2012-08-31,0.0,26.122581,19.803226,14.558065,115.676436200264,-115.676436200264,-0.148084774750248,-0.374328404451781,08/2012,2012,Agosto,51,8
176,2012-09-30,32.9,29.916667,23.410667,18.166667,142.215717707552,-109.315717707552,-0.0206372776900735,-0.174360849941738,09/2012,2012,Setembro,67,9
177,2012-10-31,109.8,30.23871,23.77871,18.545161,162.420144834953,-52.6201448349533,-0.114043893920405,-0.241667162639126,10/2012,2012,Outubro,16,10
178,2012-11-30,444.6,26.593333,21.450667,17.966667,134.314515529254,310.285484470746,1.05376751899026,1.1234093912609,11/2012,2012,Novembro,0,11
179,2012-12-31,141.9,28.664516,22.71871,18.093548,160.067317084647,-18.1673170846466,0.32402282949449,0.260489647218468,12/2012,2012,Dezembro,0,12
180,2013-01-31,491.8,26.083871,21.34,17.919355,135.698190125103,356.101809874897,1.96436197506842,2.20579928488094,01/2013,2013,Janeiro,0,1
181,2013-02-28,190.1,28.621429,22.922857,18.160714,139.592918391369,50.5070816086311,2.01708573779964,1.27771905267693,02/2013,2013,Fevereiro,1,2
182,2013-03-31,190.3,27.745161,22.350968,18.332258,135.841558661307,54.4584413386934,1.89960759359728,1.47111671184077,03/2013,2013,Março,1,3
183,2013-04-30,95.4,26.276667,20.968667,17.223333,109.982005494936,-14.5820054949358,1.5231210811168,-0.543181006114171,04/2013,2013,Abril,0,4
184,2013-05-31,22.2,26.770968,20.680645,15.387097,109.009840840129,-86.8098408401288,0.693307956895196,-0.617472723132205,05/2013,2013,Maio,2,5
185,2013-06-30,6.2,25.643333,20.244,15.536667,90.2255828561414,-84.0255828561414,1.20755991118605,-0.350040319580642,06/2013,2013,Junho,5,6
186,2013-07-31,0.3,26.480645,19.816774,14.176667,105.393809097131,-105.093809097131,-0.387527723150988,-0.177607605029423,07/2013,2013,Julho,25,7
187,2013-08-31,0.0,27.819355,20.982581,14.693548,126.198034999979,-126.198034999979,-0.53399157318205,-0.64941075378102,08/2013,2013,Agosto,33,8
188,2013-09-30,65.9,29.193333,22.610667,17.253333,140.557100929658,-74.6571009296581,-0.130971556167549,0.263650881976929,09/2013,2013,Setembro,33,9
189,2013-10-31,106.7,28.441935,22.230323,17.612903,151.246042372169,-44.5460423721689,-0.0024086045353242,0.072074174618133,10/2013,2013,Outubro,3,10
190,2013-11-30,278.8,27.293333,21.927333,17.98,140.799676567595,138.000323432405,0.171930929786773,0.321822298789795,11/2013,2013,Novembro,0,11
191,2013-12-31,353.6,26.722581,21.499355,18.216129,140.416471205115,213.183528794885,0.770137742209219,0.704170942419885,12/2013,2013,Dezembro,2,12
192,2014-01-31,153.0,27.774194,22.255484,17.845161,152.683173472578,0.316826527421824,0.496554732682239,0.711457942774988,01/2014,2014,Janeiro,0,1
193,2014-02-28,139.2,27.114286,21.884286,17.896429,128.220472624973,10.9795273750272,0.302693403129526,0.0283504915365193,02/2014,2014,Fevereiro,1,2
194,2014-03-31,341.9,26.541935,21.449032,17.812903,128.055032075542,213.844967924458,0.827811099759443,0.292214060664811,03/2014,2014,Março,1,3
195,2014-04-30,249.3,26.96,21.497333,17.86,112.105170793383,137.194829206617,1.35930862831205,1.20054546291632,04/2014,2014,Abril,2,4
196,2014-05-31,2.8,26.532258,20.533548,15.290323,107.860755524537,-105.060755524537,1.21640956723957,1.42398461792357,05/2014,2014,Maio,9,5
197,2014-06-30,9.9,25.38,19.515333,14.456667,92.1589907846125,-82.2589907846125,0.720231895334732,0.958548364686109,06/2014,2014,Junho,6,6
