"Data Medicao","PRECIPITACAO","TEMPERATURA_MAXIMA_MEDIA","TEMPERATURA_MEDIA","TEMPERATURA_MINIMA_MEDIA","PET","BAL","SPI6","SPEI3"
"7/31/2002",16.5,26.193548,20.101935,14.935484,101.438404819909,-84.9384048199094,-0.477943033481528,0.395203703573501
"8/31/2002",17.8,27.293548,21.537419,16.277419,117.178318931122,-99.3783189311224,-0.851441688845966,0.914272454286213
"9/30/2002",67.8,27.776667,21.912667,17.013333,130.757053891765,-62.9570538917645,0.0669419737982946,1.16521506991552
"10/31/2002",57.5,30.519355,24.551613,19.358065,160.737008266935,-103.237008266935,-0.233469427463663,-0.120437780191488
"11/30/2002",175.1,27.493333,22.470667,18.523333,139.450097148169,35.6499028518305,-0.820986940700993,-0.938857579027337
"12/31/2002",371.4,27.116129,22.26129,18.854839,140.151808922549,231.248191077451,0.180933053894438,-0.266656738176036
"1/31/2003",229.4,26.790323,21.832903,18.674194,137.779128950734,91.620871049266,0.257038911119595,0.761471014345719
"2/28/2003",164.3,27.235714,22.289286,18.460714,126.16667082589,38.1333291741102,0.112294756596235,1.08317915153366
"3/31/2003",208.2,26.064516,21.089677,17.783871,123.932732820412,84.2672671795877,-0.17369372953445,0.217811114423934
"4/30/2003",75.2,26.696667,21.806667,17.976667,109.539416493275,-34.3394164932748,0.00939488992467173,-0.558991535526073
"5/31/2003",8.7,25.335484,19.772903,15.083871,101.133621684177,-92.4336216841766,0.31328683287656,-0.588599041845032
"6/30/2003",0,25.756667,19.654667,14.083333,95.2745195397046,-95.2745195397046,-0.437847215954353,-0.762870819366561
"7/31/2003",0,25.23871,18.952258,13.622581,99.9935783061462,-99.9935783061462,-0.733118474171776,-0.617672045903135
"8/31/2003",62.4,27.267742,20.894194,15.619355,119.453249641949,-57.0532496419491,-0.226199173762284,1.44428008381339
"9/30/2003",11.3,28.16,22.479333,17.71,130.570645500058,-119.270645500058,-0.477308490587205,0.766109816784366
"10/31/2003",64.8,28.135484,22.428387,18.009677,146.41452252085,-81.6145225208499,-0.567907009593679,-0.0460119785233802
"11/30/2003",276.4,26.82,21.734667,17.973333,136.412329042179,139.987670957821,-0.151510128396347,-0.316593785890102
"12/31/2003",191.5,28.022581,23.064516,18.819355,149.505573378847,41.9944266211527,-0.469744528708989,-0.702095718634949
"1/31/2004",344.4,25.464516,21.178065,18.822581,122.829339090024,221.570660909976,0.452829844848502,1.06161611191444
"2/29/2004",422.3,25.503448,20.788966,17.975862,113.668558129839,308.631441870161,1.49873427061646,2.39423614792308
"3/31/2004",266.8,26.006452,21.215484,18.112903,121.41400626129,145.38599373871,1.88751051121149,2.10390024678629
"4/30/2004",171.2,25.93,21.060667,17.613333,105.470224885791,65.7297751142095,2.01383913081433,1.93755291699852
"5/31/2004",11.6,25.76129,20.68129,16.732258,97.5014397066865,-85.9014397066865,1.97308539972275,0.598214381222187
"6/30/2004",0,24.22,18.68,13.983333,87.2836491422544,-87.2836491422544,2.17945251444048,0.461762191638952
"7/31/2004",0.5,24.067742,18.012667,13.312903,94.3019100290226,-93.8019100290226,1.72031752769134,0.139735193888042
"8/31/2004",0,27.196774,20.62,14.687097,122.208430022962,-122.208430022962,0.423224545983267,-0.123505660256256
"9/30/2004",0,30.05,23.460667,17.52,145.959351990841,-145.959351990841,-0.199090107147613,-0.937697975250744
"10/31/2004",172.3,28.922581,23.050968,18.622581,150.19755930865,22.1024406913497,-0.166587377591374,0.0659478774609029
"11/30/2004",103.9,27.603333,22.089333,18.45,140.931247935235,-37.0312479352348,-1.37716495427487,-1.21869630350644
"12/31/2004",126,26.929032,21.72,18.077419,143.357416796641,-17.357416796641,-2.06959699721672,-1.5284729688634
"1/31/2005",255.2,27.077419,21.914194,18.448387,142.173360613508,113.026639386492,-1.55816678300587,-1.78605566396899
"2/28/2005",262.2,27.732143,22.363571,18.357143,131.038935137841,131.161064862159,-0.816568069277192,0.0469811610663897
"3/31/2005",398.6,26.877419,21.664516,18.006452,129.946084182832,268.653915817168,0.507979636120526,1.65048834034041
"4/30/2005",28,27.393333,22.082667,17.57,116.68304071067,-88.6830407106701,-0.240950698904521,0.915210640727729
"5/31/2005",17,25.448387,19.714839,14.806452,102.817933259923,-85.8179332599234,0.467359656709809,0.373303929842662
"6/30/2005",5.4,24.826667,19.448667,15.17,86.8348198541948,-81.4348198541948,1.06664277053035,-1.14615399424
"7/31/2005",0.2,25.335484,19.110323,13.954839,99.5451206067036,-99.3451206067036,0.888600408782935,0.153087472578153
"8/31/2005",39.1,27.406452,21.109677,16.051613,118.79645419882,-79.6964541988202,0.65699562318362,1.26170012600282
"9/30/2005",55.9,29.193333,23.092667,18.58,134.661283175175,-78.7612831751749,-0.617966906122577,1.03013556191208
"10/31/2005",57.3,30.925806,24.767097,19.729032,162.456539971357,-105.156539971357,-0.263390724876857,-0.101166120344093
"11/30/2005",226.5,26.546667,21.454667,18.426667,130.982446699712,95.5175533002885,-0.394827031179127,-0.557482373368947
"12/31/2005",419.3,25.483871,21.063226,17.809677,130.64627513887,288.65372486113,0.730187381894461,0.525742132029013
"1/31/2006",123.1,27.487097,22.216129,18.251613,147.47054160805,-24.3705416080496,0.27072777395497,0.770509644080382
"2/28/2006",191.4,27.875,22.095,18.635714,130.758114898935,60.6418851010654,0.160696742229223,0.816040105148791
"3/31/2006",257.9,26.629032,21.660645,18.654839,123.815255453129,134.084744546871,0.25351673099753,-0.091520166598113
"4/30/2006",141.7,26.593333,21.324667,17.906667,109.093771852319,32.6062281476812,0.66291610423306,0.392228066006923
"5/31/2006",35.1,26.03871,20.149032,15.416129,104.349463620324,-69.2494636203239,0.874938548100163,0.397208432213218
"6/30/2006",0.9,24.446667,18.640667,13.836667,88.9573441610825,-88.0573441610825,-0.0612432518294314,0.294304900711266
"7/31/2006",0.1,25.687097,19.268387,13.893548,101.727680080304,-101.627680080304,0.403037272090119,0.407065387134941
"8/31/2006",52.8,28.248387,21.829032,16.745161,121.892478748809,-69.0924787488093,0.658187331391394,1.3014205205435
"9/30/2006",40.3,28.193333,22.175333,17.45,132.022192322859,-91.7221923228589,0.587365905177412,0.967279453113934
"10/31/2006",526.4,26.532258,21.237419,18.106452,131.098265253487,395.301734746513,2.77525353335145,2.21967843531816
"11/30/2006",195.6,26.576667,21.530667,18.04,133.706503834526,61.8934961654741,2.304220217949,1.9745241321432
"12/31/2006",182.1,26.693548,21.805806,18.625806,137.393936035794,44.7060639642061,1.78726018884477,1.76174501676002
"1/31/2007",269.6,26.932258,22.049677,18.812903,138.283592287261,131.316407712739,2.19818284681353,-0.209812972911894
"2/28/2007",265.9,26.314286,21.417143,18.292857,119.011392220334,146.888607779666,2.35856273005635,0.800778518942455
"3/31/2007",35.7,28.043333,22.638065,18.487097,137.631039067848,-101.931039067848,1.39978953731386,-0.0480662935000581
"4/30/2007",50.1,27.576667,22.124,18.073333,115.745001773422,-65.6450017734215,-1.18318424548348,-1.26379707878376
"5/31/2007",7.5,26.883871,20.779355,15.680645,108.706739404171,-101.206739404171,-1.08756889922035,-1.79871193376973
"6/30/2007",0,26.163333,19.900741,14.663333,95.8013141253656,-95.8013141253656,-0.792133912362024,-1.22152886736255
"7/31/2007",0,26.732258,20.266452,14.93871,104.556112533234,-104.556112533234,-1.51593476325414,-1.14648234767624
"8/31/2007",0,26.903226,20.390968,14.816129,119.871525831746,-119.871525831746,-3.0995061587603,-0.874467392478661
"9/30/2007",0,29.563333,23.249333,17.49,142.384806849103,-142.384806849103,-2.04355927091601,-1.05125129831004
"10/31/2007",38.3,30.466667,24.004516,19,162.138181055793,-123.838181055793,-2.27232195596439,-1.52690335958573
"11/30/2007",224.9,28.106667,22.481333,18.506667,145.318740993803,79.5812590061969,-1.51801445826675,-1.45800702797628
"12/31/2007",275,26.867742,21.772258,18.122581,142.464270518698,132.535729481302,-0.957607556555712,-0.782975050546584
"1/31/2008",201,26.458065,21.623871,18.16129,137.851655742796,63.1483442572037,-0.945044931490871,0.113485561094979
"2/29/2008",227.6,26.617241,21.466897,18.141379,122.567132407665,105.032867592335,-0.505893700554004,0.630484095293661
"3/31/2008",234.6,26.196774,21.18,17.890323,124.498643156077,110.101356843923,-0.201875500073791,0.622183012145858
"4/30/2008",210.2,26.916667,21.680667,17.933333,111.425784819441,98.7742151805585,0.724778803536335,0.931431721356705
"5/31/2008",0,25.877419,20.127742,14.967742,104.913463358596,-104.913463358596,0.77620814125334,0.444562186600213
"6/30/2008",0,25.18,19.507333,14.31,91.5112543036047,-91.5112543036047,0.604568954032835,0.553312225598867
"7/31/2008",0,24.980645,18.895484,13.474194,98.9771566353183,-98.9771566353183,0.668959313269662,-0.911476780072023
"8/31/2008",2.7,27.716129,21.534839,15.596774,122.505216181173,-119.805216181173,0.406845082613075,-0.424459757274204
"9/30/2008",79.9,29.923333,23.142,17.606667,144.641878131807,-64.7418781318068,0.756677110131343,0.653334085462439
"10/31/2008",38.7,30.309677,24.096129,18.790323,161.809774263699,-123.109774263699,-0.890901189333659,-0.564094958724116
"11/30/2008",271,27.233333,21.608,18.05,139.830836284352,131.169163715648,-0.330590780336595,-0.280434067087359
"12/31/2008",323.4,25.919355,21.183226,18.36129,131.276210559937,192.123789440063,0.240263022443808,-0.0114143989331897
"1/31/2009",205,27.209677,22.101935,18.619355,142.384317699414,62.6156823005856,0.267618578447726,0.948245083119624
"2/28/2009",134.8,27.403571,22.194286,18.45,127.690293944077,7.10970605592257,0.0349568342177343,0.325152016447254
"3/31/2009",81,27.93871,22.338065,18.416129,137.094741812662,-56.0947418126621,-1.1676989866037,-1.35670470331817
"4/30/2009",375.9,25.766667,20.910667,17.693333,103.806404714751,272.093595285249,0.806340976518506,0.364336220195043
"5/31/2009",61.2,25.248387,20.036129,15.870968,97.6161964570845,-36.4161964570845,0.937229856269403,0.982189856624232
"6/30/2009",9.3,24.99,19.156,14.22,90.7496874771958,-81.4496874771958,0.572634011645779,2.13209352564614
"7/31/2009",0,26.606452,20.460645,14.53871,105.044870669792,-105.044870669792,0.610138949202722,1.35787005497915
"8/31/2009",72.5,26.919355,20.778065,15.764516,116.592537176367,-44.0925371763673,1.27790315720841,1.84754590542479
"9/30/2009",50.5,28.306667,22.814,18.563333,127.62609443858,-77.1260944385798,2.4160978022851,1.40663539815965
"10/31/2009",295.8,27.567742,21.696129,18.03871,141.098438677134,154.701561322866,1.97122433117509,1.67327119966896
"11/30/2009",199.1,27.74,22.27,18.646667,141.042023035384,58.0579769646165,1.27905369423696,1.05701882178649
"12/31/2009",307.8,26.103226,21.282581,18.167742,134.497686989683,173.302313010317,1.4242594398235,1.17772376210634
"1/31/2010",121,27.574194,22.423226,18.416129,147.305403479496,-26.3054034794964,1.01823351560541,-0.503422463432559
"2/28/2010",37.2,28.417857,23.121429,18.95,133.747395768359,-96.5473957683594,-0.221560628461184,-1.22209819889848
"3/31/2010",244.7,28.141935,22.435484,18.845161,136.50456990099,108.19543009901,-0.175570325383044,-1.59750887222233
"4/30/2010",238.8,27.103333,21.472667,16.996667,117.085511605321,121.714488394679,-0.371121608724838,-0.247722601413123
"5/31/2010",27.5,27.883871,21.268387,15.767742,114.621300695073,-87.1213006950725,-0.116254650416736,0.724053155133084
"6/30/2010",0,26.116667,19.348667,13.493333,98.7734576861384,-98.7734576861384,-0.53890367774737,0.845297260005894
"7/31/2010",0,25.841935,19.594194,14.4,101.081104373079,-101.081104373079,-0.0923370906109273,-0.59009861508327
"8/31/2010",0,27.466667,20.584667,14.173333,125.581605425837,-125.581605425837,0.790263095098111,-1.11680419596958
"9/30/2010",0,30.173333,23.439333,17.6,146.568978832086,-146.568978832086,0.550673681427154,-1.20288190288956
"10/31/2010",189.9,29.235484,23.006452,18.741935,152.390337906601,37.5096620933988,0.145584994747402,0.169317476253526
"11/30/2010",254.5,26.25,21.214286,17.739286,132.458964736677,122.041035263323,0.0726560988822797,0.278846661606289
"12/31/2010",318,27.022581,21.865806,18.383871,142.325663154622,175.674336845378,0.521583895117324,0.881640714049984
"1/31/2011",126.8,26.606452,21.874839,18.425806,137.588072482186,-10.7880724821861,0.0694308362974998,0.210976044643696
"2/28/2011",172.4,27.403846,21.740769,17.992308,130.180014132801,42.2199858671992,0.0886109866134175,-0.108789535639005
"3/31/2011",243.2,26.745161,21.600645,18.303226,127.023930359696,116.176069640304,0.428721875442087,-0.262616021165778
"4/30/2011",69.5,26.876667,21.555333,17.58,112.798161845118,-43.2981618451176,-0.187478767301386,-0.37378776143787
